City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ratnagiri,16.9833,73.3,27.34,39,46,2.91,IN,1670384563
84,nsanje,-16.92,35.262,26.43,69,27,1.44,MW,1670384563
85,port elizabeth,-33.918,25.5701,15.17,97,0,1.54,ZA,1670384564
86,ishigaki,24.3448,124.1572,24.07,73,75,9.77,JP,1670384564
87,tambura,5.6,27.4667,21.35,47,5,1.25,SS,1670384564
88,ulladulla,-35.35,150.4667,28.02,32,70,5.2,AU,1670384565
89,guerrero negro,27.9769,-114.0611,15.73,69,25,5.17,MX,1670384565
90,carnarvon,-24.8667,113.6333,23.65,64,42,6.9,AU,1670384566
91,hermanus,-34.4187,19.2345,15.81,67,0,1.59,ZA,1670384566
92,xuanzhou,30.9525,118.7553,8.81,81,100,1.35,CN,1670384566
93,buncrana,55.1333,-7.45,5.16,67,99,2.89,IE,1670384567
94,namibe,-15.1961,12.1522,20.27,83,24,2.95,AO,1670384567
95,sitka,57.0531,-135.33,5.94,87,100,3.6,US,1670384567
96,cadiz,36.5,-5.75,9.86,95,65,1.27,ES,1670384568
97,takoradi,4.8845,-1.7554,25.49,88,97,2.63,GH,1670384568
98,sawakin,19.1059,37.3321,24.75,76,67,3.65,SD,1670384568
99,nanakuli,21.3906,-158.1547,26.97,67,20,4.12,US,1670384569
100,hanzhong,33.0728,107.0303,9.65,52,79,0.9,CN,1670384569
101,bengkulu,-3.8004,102.2655,28.43,67,99,2.41,ID,1670384570
102,saskylakh,71.9167,114.0833,-32.36,93,67,5.54,RU,1670384570
103,yellowknife,62.456,-114.3525,-33.58,68,75,2.06,CA,1670384570
104,kaitangata,-46.2817,169.8464,14.85,59,3,8.16,NZ,1670384571
105,tiksi,71.6872,128.8694,-33.59,100,100,2.05,RU,1670384571
106,pangnirtung,66.1451,-65.7125,-11.47,87,80,3.19,CA,1670384571
107,asfi,32.2994,-9.2372,17.91,73,100,3.13,MA,1670384572
108,saldanha,-33.0117,17.9442,9.03,84,0,1.37,ZA,1670384572
109,marigot,18.0667,-63.0833,25.88,65,20,3.09,MF,1670384572
110,axim,4.8699,-2.2405,26.41,81,97,3.14,GH,1670384545
111,nikel,69.4128,30.222,-1.9,96,100,2.75,RU,1670384573
112,pimentel,-6.8367,-79.9342,17.94,88,92,5.23,PE,1670384573
113,dicabisagan,17.0818,122.4157,27.89,76,35,2.5,PH,1670384573
114,vancouver,49.2497,-123.1193,2.79,96,100,1.54,CA,1670384313
115,rikitea,-23.1203,-134.9692,24.13,81,9,9.15,PF,1670384574
116,arraial do cabo,-22.9661,-42.0278,21.98,94,100,5.14,BR,1670384574
117,kralendijk,12.15,-68.2667,23.99,88,37,2.06,BQ,1670384575
118,airai,-8.9266,125.4092,25.47,38,64,1.55,TL,1670384575
119,thompson,55.7435,-97.8558,-28.91,69,20,4.12,CA,1670384282
120,castro,-24.7911,-50.0119,17.22,94,4,0.69,BR,1670384575
121,tecoanapa,16.5167,-98.75,25.1,80,25,1.63,MX,1670384576
122,rabo de peixe,37.8,-25.5833,13.73,98,40,9.26,PT,1670384576
123,cidreira,-30.1811,-50.2056,20.65,84,59,2.38,BR,1670384577
124,atuona,-9.8,-139.0333,24.88,81,37,6.69,PF,1670384577
125,kysyl-syr,63.8986,122.7617,-23.63,97,100,3.91,RU,1670384577
126,haines junction,60.7522,-137.5108,-3.67,98,100,0.32,CA,1670384578
127,bredasdorp,-34.5322,20.0403,14.85,75,0,1.05,ZA,1670384578
128,padang,-0.9492,100.3543,26.03,87,100,3.72,ID,1670384578
129,ostrovnoy,68.0531,39.5131,-3.34,92,70,9.28,RU,1670384579
130,skibbereen,51.55,-9.2667,4.5,82,75,4.03,IE,1670384579
131,la romana,18.4273,-68.9728,21.2,100,40,2.06,DO,1670384579
132,sunrise,26.1577,-80.2861,25.01,78,40,2.57,US,1670384580
133,cayenne,4.9333,-52.3333,24.02,94,0,1.03,GF,1670384580
134,kalmunai,7.4167,81.8167,24.85,84,100,7.72,LK,1670384581
135,los llanos de aridane,28.6585,-17.9182,18.86,98,75,7.72,ES,1670384581
136,petropavlovsk-kamchatskiy,53.0452,158.6483,-2.67,74,75,1.0,RU,1670384582
137,nevyansk,57.4953,60.2112,-19.11,98,21,1.98,RU,1670384582
138,mata,40.683,-7.4592,6.63,97,90,1.54,PT,1670384583
139,labuhan,-6.8844,112.2051,29.92,64,99,1.13,ID,1670384583
140,kathor,21.3,72.9333,20.89,51,1,4.08,IN,1670384583
141,yantikovo,55.8216,47.9104,-12.6,92,70,2.56,RU,1670384584
142,goderich,43.7501,-81.7165,4.95,93,100,0.51,CA,1670384584
143,cairns,-16.9167,145.7667,37.81,60,48,4.63,AU,1670384320
144,daura,11.5538,11.4085,19.72,30,88,4.88,NG,1670384585
145,khatanga,71.9667,102.5,-27.18,98,96,4.02,RU,1670384585
146,tulun,54.5611,100.5792,-9.55,67,100,5.97,RU,1670384585
